Id,Species
143,Iris-virginica
46,Iris-setosa
32,Iris-setosa
14,Iris-setosa
149,Iris-virginica
106,Iris-virginica
128,Iris-virginica
133,Iris-virginica
20,Iris-setosa
56,Iris-versicolor
25,Iris-setosa
97,Iris-versicolor
98,Iris-versicolor
24,Iris-setosa
141,Iris-virginica
58,Iris-versicolor
51,Iris-versicolor
148,Iris-virginica
92,Iris-versicolor
17,Iris-setosa
116,Iris-virginica
120,Iris-virginica
76,Iris-versicolor
57,Iris-versicolor
142,Iris-virginica
66,Iris-versicolor
94,Iris-versicolor
145,Iris-virginica
15,Iris-setosa
122,Iris-virginica
36,Iris-setosa
19,Iris-setosa
54,Iris-versicolor
40,Iris-setosa
30,Iris-setosa
121,Iris-virginica
150,Iris-virginica
52,Iris-versicolor
